haltestellen_id,belastung_x,linien_id,linienname,plan_fahrt_id,belastung_y,einsteiger,aussteiger,besetzung,traffic_total,anzahl_messungen,haltestellenlangname,distanz_m,halt_lin_kurz,halt_lin_lang,zonen,vsys,linienname_fahrgastauskunft,koord_wgs84_n,koord_wgs84_e,Quartier
169,1.1309846089549158,42,418,35665,0.3590319997964066,31.774331981981984,28.094868941441444,63.54866396396397,59.86920092342343,9011,"Zürich, Bahnhof Stadelhofen",252.5,169-S18,"Zürich, Bahnhof Stadelhofen Linie S18",110.0,FB,S18,8.548154562800391,47.36628122083064,Bellevue
710,0.0,83,753,69317,0.0,0.0,26.11111,,26.11111,18,"Dübendorf, Hochbord Süd",0.0,710-E,"Dübendorf, Hochbord Süd Linie E",121.0,BG,E,8.600574068927974,47.39920994530776,Keine Zone
294,1.4117068096813774,65,330,37556,1.0247844791666667,32.5977,22.64368,49.189655,55.24138,59,"Weiningen ZH, Schulhaus",410.0,294-330,"Weiningen ZH, Schulhaus Linie 330",154.0,BL,330,8.428842564828859,47.418537851080906,Keine Zone
297,1.3062952780950812,65,330,37556,0.8336925000000001,11.965515,22.37931,40.01724,34.344825,30,"Geroldswil, Zentrum",502.0,297-330,"Geroldswil, Zentrum Linie 330",154.0,BL,330,8.409441007942943,47.42145479786355,Keine Zone
278,1.0654197614737242,65,330,32585,0.39116375,1.87931,17.672415,12.51724,19.551725,58,"Schlieren, Bahnhof",95.0,278-330,"Schlieren, Bahnhof Linie 330",154.0,BL,330,8.448544715415192,47.3994331578919,Keine Zone
164,1.1601410208284593,13,7,5224,0.3001225129793681,16.279521315789474,16.985543031189085,30.312373810916178,33.265064346978555,8639,"Zürich, Bahnhofstrasse/HB",372.2690058479532,164-7,"Zürich, Bahnhofstrasse/HB Linie 7",110.0,T,7,8.539449463866212,47.37622320537186,Schipfe
129,1.2193017069121321,28,3,80320,0.3539135865992415,18.1878548988622,14.973734456384324,31.85222279393173,33.16158935524652,14241,"Zürich, Bahnhofplatz/HB",293.4298356510746,129-3,"Zürich, Bahnhofplatz/HB Linie 3",110.0,T,3,8.539298519856215,47.37725008902943,Bahnhofplatz
156,1.4777994589766419,23,61,31122,0.4387880796933086,13.693998903345724,13.537676617100372,21.06182782527881,27.231675520446096,12795,"Zürich, Bahnhof Oerlikon",409.6840148698885,156-61,"Zürich, Bahnhof Oerlikon Linie 61",110.0,B,61,8.544868746143013,47.41146818960042,Marktplatz Oerlikon
156,1.4777994589766419,24,62,28879,0.4141952591833637,12.71529174863388,12.489229836065574,19.881372440801456,25.204521584699453,13178,"Zürich, Bahnhof Oerlikon",410.46448087431696,156-62,"Zürich, Bahnhof Oerlikon Linie 62",110.0,B,62,8.544868746143013,47.41146818960042,Marktplatz Oerlikon
23,2.1352897975332508,10,9,83194,0.2802096622226976,12.226286376248613,11.869436864594894,23.257401964483908,24.09572324084351,15683,"Zürich, Bellevue",376.1065482796892,23-9,"Zürich, Bellevue Linie 9",110.0,T,9,8.54508653817144,47.367093234181496,Bellevue
